author,date,text
B_Prataap,2020-02-29 05:10:02,"b'RT @upword_: Instead of voicing his support for the minorities who are suffering in the theocratic States, @BernieSanders  is protecting th\xe2\x80\xa6'"
SACHINTAK55,2020-02-29 05:10:02,b'@Rssamul D for distribution level sales man \xf0\x9f\x9a\x80 singh sales of year Dill sales man epic gold change need new India new amul'
shahmeeeen,2020-02-29 05:10:02,b'RT @TheMcBang: INDIA IS KILLING INNOCENT MUSLIMS\n\nINDIA IS KILLING INNOCENT MUSLIMS\n\nINDIA IS KILLING INNOCENT MUSLIMS \n\nINDIA IS KILLING I\xe2\x80\xa6'
Arr4yy4N,2020-02-29 05:10:02,b'RT @Gemacan70Back: #SolidarityForIndiaMoslem \nEven HAM is DEAD in the WORLD \nWhenever Muslims are always victims of barbarity. \nThat is HIN\xe2\x80\xa6'
bhuvana31,2020-02-29 05:10:02,b'@goanborn12 @sidharth_shukla You consider your family alone as 3/4th of India what a comedy'
Khsitij3,2020-02-29 05:10:02,b'RT @jihadwatchRS: India: Leftist news outlet NDTV edits out images of mosque with stockpile of stones from video on riots https://t.co/pQUJ\xe2\x80\xa6'
reyaz_nadeem,2020-02-29 05:10:02,b'RT @imMAK02: A mosque was attacked in Dwarka on Friday early Morning.\n\nAccording to residents attackers pelted stones and shouted Jai Sri R\xe2\x80\xa6'
sabirmomin86,2020-02-29 05:10:02,b'RT @TheDeshBhakt: I keep repeating this - satire is a very difficult thing to do in India. You will get beaten every time by the headlines.\xe2\x80\xa6'
SumitSa49362148,2020-02-29 05:10:02,"b'RT @dpradhanbjp: There is no dearth of raw materials in India. We are also exploring alternative, cleaner energy sources. \n\nToday, it is on\xe2\x80\xa6'"
KhanNizamb,2020-02-29 05:10:02,b'RT @DilliDurAst: \xe2\x80\x9cFive of the eight seats the BJP won in the 70-member Assembly fall in northeast Delhi where rioting took place\xe2\x80\x9d https://t\xe2\x80\xa6'
gifincric,2020-02-29 05:10:02,b'India Women 0-0(0) vs Sri Lanka Women 7-84(16.0)\nLive: Sri Lanka Women won the toss and elected to bat.\n\xe2\xac\x87\xef\xb8\x8f\xe2\xac\x87\xef\xb8\x8f\xe2\xac\x87\xef\xb8\x8f\xe2\x80\xa6 https://t.co/H8XYqGJAQ5'
rynyhya,2020-02-29 05:10:02,b'RT @uzz_syazz: Pray for Muslim .  Pray for India \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 . Pray for Malaysia \xf0\x9f\x87\xb2\xf0\x9f\x87\xbe'
SameerKhan_1993,2020-02-29 05:10:03,"b'RT @ThePeopleOfIN: Amidst multiple reports and eye witness accounts of the inaction of @DelhiPolice , it is indeed heartwarming to see that\xe2\x80\xa6'"
Karanjit_6838,2020-02-29 05:10:03,"b'RT @VishalDadlani: #AAP started out as people criticising a government that was wrong.\n\nMost #AAP supporters are still those people, &amp; stil\xe2\x80\xa6'"
FightersIntel,2020-02-29 05:10:03,b'RT @AmyMek: Trump refuses to condemn India\xe2\x80\x99s law (CAA) that fast tracks citizenship to victims of Muslim persecution in three Islamic Natio\xe2\x80\xa6'
VINAYSOGANE,2020-02-29 05:10:03,"b'RT @prasannavishy: How India has largely remained immune to coronavirus,  \n\nMonitoring and restricting the mobility of passengers travellin\xe2\x80\xa6'"
ManavSood15,2020-02-29 05:10:03,"b'RT @ashoswai: In New India, a Muslim must surrender himself to die when a Hindutva mob comes attacking. If he resists and tries to survive,\xe2\x80\xa6'"
cynical21,2020-02-29 05:10:03,"b""RT @PoisonOfChoice: Bigot AND racist. Naiiice! \xf0\x9f\x98\x82\n\nNot the first time she has disparaged India and it's culture either. Classic case of when\xe2\x80\xa6"""
deepanreddyeee,2020-02-29 05:10:03,b'RT @Tentkotta: The Times of India on #Darbar: An engaging commercial cocktail of action and drama.\n\nWatch Now: #Darbar\n\n#GoLegal #SayNoToPi\xe2\x80\xa6'
sivumessi,2020-02-29 05:10:03,"b'Experts, how many wickets does india need today to stay in the match#staraikelungal'"
TKSSFc,2020-02-29 05:10:04,"b""RT @indiabestdancer: The trick to win\xc2\xa0#DrT's approval lies in using the right techniques. Watch India\xe2\x80\x99s best moves in\xc2\xa0#IndiasBestDancer\xc2\xa0fro\xe2\x80\xa6"""
KapilSharmaFC9,2020-02-29 05:10:04,"b""RT @indiabestdancer: The trick to win\xc2\xa0#DrT's approval lies in using the right techniques. Watch India\xe2\x80\x99s best moves in\xc2\xa0#IndiasBestDancer\xc2\xa0fro\xe2\x80\xa6"""
Kuldeep28710656,2020-02-29 05:10:04,b'@Kamallochanm @KapilMishra_IND Government of India\nFir against All These Bollywood'
